Variable,Unit,Definition
OM Cost|Variable|Hydrogen|Biomass|w/o CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass to hydrogen plant w/o CCS. If more than one biomass to hydrogen technology is modelled, modellers should report Variable operation & maintainance costs for each represented biomass to hydrogen technology by adding variables Variable operation & maintainance cost|Hydrogen|Biomass|w/o CCS|2, ... Variable operation & maintainance cost|Hydrogen|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Hydrogen|Coal|w/ CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new coal to hydrogen plant with CCS. If more than one CCS coal to hydrogen technology is modelled, modellers should report Variable operation & maintainance costs for each represented CCS coal to hydrogen technology by adding variables Variable operation & maintainance cost|Hydrogen|Coal|w/ CCS|2, ... Variable operation & maintainance cost|Hydrogen|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Hydrogen|Coal|w/o CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new coal to hydrogen plant w/o CCS. If more than one coal to hydrogen technology is modelled, modellers should report Variable operation & maintainance costs for each represented coal to hydrogen technology by adding variables Variable operation & maintainance cost|Hydrogen|Coal|w/o CCS|2, ... Variable operation & maintainance cost|Hydrogen|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Hydrogen|Electricity,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new hydrogen-by-electrolysis plant. If more than hydrogen-by-electrolysis technology is modelled, modellers should report Variable operation & maintainance costs for each represented hydrogen-by-electrolysis technology by adding variables Variable operation & maintainance cost|Hydrogen|Electricity|2, ... Variable operation & maintainance cost|Hydrogen|Electricity|N (with N = number of represented technologies). It is modeller's choice which hydrogen-by-electrolysis technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Hydrogen|Gas|w/ CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new gas to hydrogen plant with CCS. If more than one CCS gas to hydrogen technology is modelled, modellers should report Variable operation & maintainance costs for each represented CCS gas to hydrogen technology by adding variables Variable operation & maintainance cost|Hydrogen|Gas|w/ CCS|2, ... Variable operation & maintainance cost|Hydrogen|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS gas to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Hydrogen|Gas|w/o CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new gas to hydrogen plant w/o CCS. If more than one gas to hydrogen technology is modelled, modellers should report Variable operation & maintainance costs for each represented gas to hydrogen technology by adding variables Variable operation & maintainance cost|Hydrogen|Gas|w/o CCS|2, ... Variable operation & maintainance cost|Hydrogen|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Liquids|Biomass|w/ CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report Variable operation & maintainance costs for each represented CCS BTL technology by adding variables Variable operation & maintainance cost|Liquids|Biomass|w/ CCS|2, ... Variable operation & maintainance cost|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Liquids|Biomass|w/ CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report Variable operation & maintainance costs for each represented CCS BTL technology by adding variables Variable operation & maintainance cost|Liquids|Biomass|w/ CCS|2, ... Variable operation & maintainance cost|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Liquids|Biomass|w/ CCS|2,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report Variable operation & maintainance costs for each represented CCS BTL technology by adding variables Variable operation & maintainance cost|Liquids|Biomass|w/ CCS|2, ... Variable operation & maintainance cost|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Liquids|Biomass|w/o CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report Variable operation & maintainance costs for each represented BTL technology by adding variables Variable operation & maintainance cost|Liquids|Biomass|w/o CCS|2, ... Variable operation & maintainance cost|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Liquids|Biomass|w/o CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report Variable operation & maintainance costs for each represented BTL technology by adding variables Variable operation & maintainance cost|Liquids|Biomass|w/o CCS|2, ... Variable operation & maintainance cost|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Liquids|Biomass|w/o CCS|2,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report Variable operation & maintainance costs for each represented BTL technology by adding variables Variable operation & maintainance cost|Liquids|Biomass|w/o CCS|2, ... Variable operation & maintainance cost|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
